nombre,apellido,tipoCuenta,emitirChequera,cuit
Aarav,Chaudhary,10,true,20123456789
Aarya,Reddy,27,false,27134567890
Ahaan,Verma,10,true,20345678901
Akshay,Srivastava,27,true,27098765432
Amaira,Yadav,10,false,20234567890
Amir,Patel,27,true,27098765432
Anika,Gupta,10,true,20123456789
Anvi,Kumar,27,false,27345678901
Arjun,Shah,10,true,20234567890
Advait,Chopra,27,true,27234567890
Aryan,Kumar,10,false,20234567890
Ayaan,Singh,27,true,23098765432
Bodhi,Trivedi,10,true,20234567890
Bhumi,Deshmukh,27,false,27123456789
Caleb,Banerjee,10,true,20145678901
Chahna,Gill,27,true,27098765432
Daksha,Mukherjee,10,true,20234567890
Darsh,Parekh,27,false,27234567890
Dev,Patel,10,true,20234567890
Eela,Singhania,27,true,23098765432
Eva,Sengupta,10,true,20234567890
Fara,Kapoor,27,false,27345678901
Gia,Mukhopadhyay,10,true,20234567890
Guru,Nayar,27,true,27098765432
Hari,Pujari,10,true,20123456789
Ira,Sethi,27,false,27234567890
Inaaya,Amin,10,true,20123456789
Ishan,Varma,27,true,27345678901
Jai,Roy,10,true,20234567890
Jhanvi,Sachdeva,27,true,27098765432
Kabir,Sarin,10,true,20123456789
Kaira,Rao,27,false,27234567890
Laksh,Kohli,10,true,20145678901
Lara,Prasad,27,true,27098765432
Luv,Bhakta,10,true,20234567890
Meera,Awasthi,27,true,27345678901
Mihika,Singh,10,true,20234567890
Navya,Mukherjee,27,false,27123456789
Neha,Sengupta,10,true,20123456789
Om,Arya,27,true,27234567890
Pranav,Gill,10,true,20145678901
Pari,Mukherjee,27,true,27098765432
Reyansh,Banerjee,10,false,20234567890
Rudra,Deshpande,27,true,27345678901
Sarah,Chopra,10,true,20234567890
Saisha,Gupta,27,true,27098765432
Shaurya,Shah,10,true,20123456789
Shanaya,Kapoor,27,false,27345678901
Taara,Verma,10,true,20234567890
Tisha,Srivastava,27,true,27345678901
Tara,Deshpande,10,true,20234567890
Umaan,Sengupta,27,false,27123456789
Viaan,Gill,10,true,20123456789
Vivaan,Banerjee,27,true,27345678901
Vihaan,Reddy,10,true,20234567890
Yash,Parekh,27,true,27098765432
Yuvaan,Pujari,10,true,20123456789
Zara,Awasthi,27,false,27234567890
Zayn,Singh,10,true,20345678901
Advika,Chaudhary,27,true,27098765432
Advit,Verma,10,true,20123456789
Aisha,Srivastava,27,true,27234567890
Aarush,Yadav,10,true,20123456789
Amit,Patel,27,false,27345678901
Ayushi,Gupta,10,true,20123456789
Aaryan,Kumar,27,true,27234567890
Aarohi,Chopra,10,true,20123456789
Avi,Kumar,27,false,27345678901
Ananya,Shah,10,true,20123456789
Anay,Gill,27,true,27234567890
Bianca,Reddy,10,true,20123456789
Catherine,Verma,27,true,27234567890
Dhruv,Srivastava,10,true,20123456789
Darshini,Yadav,27,false,27345678901
Dhairya,Patel,10,true,20123456789
Elina,Gupta,27,true,27234567890
Eeshan,Singh,10,true,20123456789
Fathima,Srivastava,27,false,27345678901
Fatima,Chopra,10,true,20123456789
Ganesh,Srivastava,27,true,27234567890
Grishma,Gill,10,true,20123456789
Harsh,Kumar,27,true,27098765432
Hayaan,Shah,10,true,20123456789
Ihaan,Kumar,27,false,27345678901
Ishita,Chopra,10,true,20123456789
Inaya,Kapoor,27,true,27234567890
Jasmin,Gupta,10,true,20123456789
Jiya,Mukherjee,27,true,27098765432
Kabir,Sengupta,10,true,20123456789
Kashvi,Verma,27,true,27234567890
Lakshya,Banerjee,10,true,20123456789
Lekha,Reddy,27,false,27345678901
Manan,Verma,10,true,20123456789
Mihira,Srivastava,27,true,27234567890
Navya,Yadav,10,true,20123456789
Nikita,Patel,27,true,27234567890
Nivaan,Gill,10,true,20123456789
Oviya,Chopra,27,false,27345678901
Pahal,Srivastava,10,true,20123456789
Parth,Yadav,27,true,27234567890
Pihu,Shah,10,true,20123456789
Qasim,Kumar,27,true,27098765432
Rachit,Srivastava,10,true,20123456789
Reeva,Chopra,27,false,27345678901
Rishaan,Verma,10,true,20123456789
Rivan,Gill,27,true,27234567890
Saisha,Reddy,10,true,20123456789
Samarth,Verma,27,true,27345678901
Saumya,Patel,10,true,20123456789
Saanvi,Srivastava,27,true,27345678901
Tanvi,Yadav,10,true,20123456789
Vedika,Shah,27,false,27123456789
Vivaan,Gupta,10,true,20123456789
Vivaan,Chopra,27,true,27345678901
Vihaan,Kumar,10,true,20123456789
Yaadav,Kumar,27,true,27345678901
Ziva,Verma,10,true,20123456789
